task_id,day,workstream,task,primary_owner,supporting_resources,effort_person_days,dependency,deliverable,gate,status
TB-01,1,TigerBeetle,Verify cluster identity version quorum namespace and node inventory,Treasury/Ledger Witness,Operations Owner; Security Owner,1.0,Staging cluster provisioned,Cluster attestation and node inventory,Entry gate,Planned
TB-02,2,TigerBeetle,Verify segregated debit and credit accounts and account binding plan,Treasury/Ledger Witness,Operations Owner; Compliance Owner,1.0,TB-01,Account binding record and approved test identities,E-04,Planned
TB-03,3,TigerBeetle,Execute transfer batch idempotency retry timeout and duplicate-submission tests,Operations Owner,Treasury/Ledger Witness; Engineering,2.0,TB-02,Transfer execution report with request IDs,E-04,Planned
TB-04,4,TigerBeetle,Inject network delay and client failure and verify no accidental settlement,Operations Owner,Security Owner; Treasury/Ledger Witness,1.5,TB-03,Failure-path trace and held/failed state evidence,E-04 hard-stop,Planned
TB-05,5,TigerBeetle,Run PostgreSQL-to-TigerBeetle reconciliation and investigate every difference,Treasury/Ledger Witness,Operations Owner; Compliance Owner,1.5,TB-03,Reconciliation report and discrepancy register,E-04,Planned
TB-06,6,TigerBeetle,Test lease loss consensus-loss fencing restart recovery and read-only hold behavior,Operations Owner,Treasury/Ledger Witness; Security Owner,2.0,TB-04; TB-05,Recovery and fencing evidence,E-04/E-08 hard-stop,Planned
TB-07,7,TigerBeetle,Repeat concurrent transfers and verify single settlement per idempotency key,Operations Owner,Engineering; Treasury/Ledger Witness,1.5,TB-06,Concurrency and single-settlement report,E-04,Planned
TB-08,8,TigerBeetle,Complete final balances reconciliation and independent ledger review,Treasury/Ledger Witness,Compliance Owner; Independent Reviewer,1.5,TB-07,Zero-unexplained-difference sign-off,E-04,Planned
TB-09,9,TigerBeetle,Package E-04 artifacts and cross-reference E-06/E-08 incidents,Release Manager,Operations Owner; Treasury/Ledger Witness,1.0,TB-08,Immutable E-04 package,E-04,Planned
TB-10,10,TigerBeetle,Perform independent reconciliation review and sign evidence,Treasury/Ledger Witness,Independent Reviewer; Compliance Owner,1.0,TB-09,Reviewed reconciliation memorandum,Reassessment,Planned
AML-01,1,AML/CFT/CPF,Approve risk-based screening matrix test subjects fixtures and provider entitlements,Compliance Owner/MLRO,Security Owner; Provider Contact,1.5,Authorized staging provider,Approved AML test matrix,Entry gate,Planned
